asset,start,end
Y,1/01/2020 0:06,1/01/2020 0:21
Z,1/01/2020 0:50,1/01/2020 1:39
Y,1/01/2020 0:54,1/01/2020 1:51
Z,1/01/2020 2:14,1/01/2020 3:03
Y,1/01/2020 2:29,1/01/2020 3:26
Y,1/01/2020 4:01,1/01/2020 4:58
Z,1/01/2020 4:14,1/01/2020 5:10
Y,1/01/2020 5:49,1/01/2020 6:45
Z,1/01/2020 6:22,1/01/2020 7:11
Y,1/01/2020 7:00,1/01/2020 7:56
Z,1/01/2020 7:23,1/01/2020 8:12
Y,1/01/2020 8:21,1/01/2020 9:21
Z,1/01/2020 8:23,1/01/2020 9:22
Z,1/01/2020 10:55,1/01/2020 11:52
Y,1/01/2020 11:16,1/01/2020 12:12
Z,1/01/2020 12:03,1/01/2020 12:53
Y,1/01/2020 13:37,1/01/2020 14:33
Z,1/01/2020 13:38,1/01/2020 14:37
Y,1/01/2020 14:58,1/01/2020 15:54
Z,1/01/2020 15:02,1/01/2020 15:59
Y,1/01/2020 16:20,1/01/2020 17:16
Y,1/01/2020 17:41,1/01/2020 18:38
Z,1/01/2020 17:47,1/01/2020 18:43
Z,1/01/2020 18:59,1/01/2020 20:09
Y,1/01/2020 19:03,1/01/2020 19:28
Y,1/01/2020 19:40,1/01/2020 20:28
Z,1/01/2020 20:15,1/01/2020 21:12
Y,1/01/2020 20:48,1/01/2020 21:47
Z,1/01/2020 21:30,1/01/2020 22:20
Y,1/01/2020 22:42,1/01/2020 23:31
Z,1/01/2020 22:55,2/01/2020 0:21
Y,1/01/2020 23:42,2/01/2020 0:41
Z,2/01/2020 0:52,2/01/2020 1:51
Z,2/01/2020 2:02,2/01/2020 2:59
Y,2/01/2020 2:13,2/01/2020 3:09
Z,2/01/2020 3:17,2/01/2020 4:13
Y,2/01/2020 3:34,2/01/2020 4:30
Z,2/01/2020 5:01,2/01/2020 5:57
Y,2/01/2020 5:33,2/01/2020 6:30
Z,2/01/2020 7:29,2/01/2020 8:28
Z,2/01/2020 8:53,2/01/2020 9:42
Z,2/01/2020 10:16,2/01/2020 11:12
Z,2/01/2020 11:55,2/01/2020 12:44
Z,2/01/2020 13:02,2/01/2020 13:59
Z,2/01/2020 15:22,2/01/2020 16:11
Z,2/01/2020 16:31,2/01/2020 17:10
Z,2/01/2020 17:38,2/01/2020 19:26
Z,2/01/2020 19:51,2/01/2020 20:40
X,2/01/2020 20:32,2/01/2020 21:29
Z,2/01/2020 20:52,2/01/2020 21:49
Z,2/01/2020 22:11,2/01/2020 23:00
X,2/01/2020 22:31,2/01/2020 23:27
Z,2/01/2020 23:28,3/01/2020 0:17
X,2/01/2020 23:58,3/01/2020 0:12
