check_in,check_out,adults,children,reserved_room_type,assigned_room_type
2015-12-08 15:33:00,2016-01-05 09:56:00,2,0,E,E
2015-12-17 14:19:00,2016-01-05 09:04:00,2,0,E,E
2015-12-23 14:02:00,2016-01-02 06:58:00,2,0,E,E
2015-12-24 15:54:00,2016-01-01 08:48:00,2,0,D,D
2015-12-26 15:33:00,2016-01-01 09:59:00,2,2,G,G
2015-12-26 21:32:00,2016-01-01 07:42:00,2,0,D,D
2015-12-26 18:50:00,2016-01-05 08:43:00,2,0,E,E
2015-12-28 15:34:00,2016-01-02 10:04:00,2,0,E,E
2015-12-28 16:19:00,2016-01-03 08:01:00,2,0,A,A
2015-12-28 16:52:00,2016-01-03 09:51:00,2,0,A,A
2015-12-28 15:52:00,2016-01-04 08:49:00,1,2,G,G
2015-12-28 17:00:00,2016-01-11 08:42:00,2,0,E,E
2015-12-28 16:30:00,2016-01-01 08:45:00,2,0,D,D
2015-12-28 17:27:00,2016-01-01 08:51:00,2,0,E,E
2015-12-29 18:00:00,2016-01-07 09:54:00,2,0,E,E
2015-12-30 18:33:00,2016-01-02 11:00:00,2,1,A,D
2015-12-30 14:09:00,2016-01-03 09:19:00,2,0,A,A
2015-12-30 17:00:00,2016-01-03 09:52:00,2,0,A,A
2015-12-30 17:51:00,2016-01-03 09:07:00,2,0,A,C
2015-12-30 20:07:00,2016-01-03 06:44:00,2,0,A,D
2015-12-30 17:38:00,2016-01-03 08:48:00,2,0,E,E
2015-12-30 14:36:00,2016-01-03 09:57:00,2,0,A,C
2015-12-30 17:57:00,2016-01-03 09:34:00,2,0,A,C
2015-12-30 18:06:00,2016-01-03 07:43:00,1,0,A,A
2015-12-30 18:30:00,2016-01-03 09:40:00,1,0,A,A
2015-12-30 16:53:00,2016-01-03 06:49:00,2,0,A,A
2015-12-30 16:48:00,2016-01-03 08:39:00,2,0,A,A
2015-12-30 15:18:00,2016-01-03 06:55:00,2,0,A,A
2015-12-30 14:50:00,2016-01-03 05:49:00,2,0,A,A
2015-12-30 18:01:00,2016-01-03 10:04:00,2,0,A,E
2015-12-30 15:30:00,2016-01-03 07:28:00,2,0,A,A
2015-12-30 16:59:00,2016-01-03 08:46:00,1,0,A,A
2015-12-30 17:07:00,2016-01-03 06:58:00,2,0,A,A
2015-12-30 16:36:00,2016-01-03 08:45:00,2,0,A,A
2015-12-30 15:37:00,2016-01-03 09:51:00,2,0,A,A
2015-12-30 15:19:00,2016-01-03 09:33:00,2,0,A,A
2015-12-30 17:53:00,2016-01-03 09:20:00,2,0,A,A
2015-12-30 16:05:00,2016-01-03 09:30:00,1,0,A,A
2015-12-30 15:53:00,2016-01-03 07:44:00,2,0,A,C
2015-12-30 14:58:00,2016-01-03 08:08:00,1,0,A,A
2015-12-30 15:20:00,2016-01-03 08:10:00,1,0,A,A
2015-12-30 18:23:00,2016-01-03 08:34:00,1,0,A,A
2015-12-30 17:49:00,2016-01-03 08:39:00,2,0,A,A
2015-12-30 15:39:00,2016-01-03 07:37:00,2,0,A,A
2015-12-30 15:48:00,2016-01-03 09:35:00,2,0,A,A
2015-12-30 14:24:00,2016-01-03 09:34:00,2,0,A,C
2015-12-30 14:27:00,2016-01-03 09:34:00,3,0,A,C
2015-12-30 18:37:00,2016-01-03 09:38:00,2,0,A,A
2015-12-30 18:50:00,2016-01-03 08:12:00,2,0,E,E
