game_id,sort_order,time,event_team,opponent,home_team
0,65,72,Aston Villa,Bournemouth,False
1,11,13,Watford,Everton,False
1,63,75,Everton,Watford,True
1,72,83,Watford,Everton,False
1,76,86,Everton,Watford,True
2,40,22,Chelsea,Swansea,True
2,45,25,Chelsea,Swansea,True
2,52,28,Swansea,Chelsea,False
2,54,30,Chelsea,Swansea,True
2,55,30,Swansea,Chelsea,False
2,59,33,Chelsea,Swansea,True
2,114,54,Swansea,Chelsea,False
2,121,58,Swansea,Chelsea,False
3,15,10,Leicester City,Sunderland,True
3,21,18,Leicester City,Sunderland,True
3,25,24,Leicester City,Sunderland,True
3,67,60,Sunderland,Leicester City,False
3,72,65,Leicester City,Sunderland,True
3,76,70,Sunderland,Leicester City,False
4,46,42,Crystal Palace,Norwich City,False
4,56,51,Crystal Palace,Norwich City,False
4,83,71,Norwich City,Crystal Palace,True
4,103,90,Crystal Palace,Norwich City,False
5,15,22,Manchester Utd,Tottenham,True
6,26,24,Southampton,Newcastle,False
6,39,42,Newcastle,Southampton,True
6,48,47,Newcastle,Southampton,True
6,78,78,Southampton,Newcastle,False
7,83,85,Liverpool,Stoke City,False
8,47,43,West Ham,Arsenal,False
8,55,56,West Ham,Arsenal,False
9,5,8,Manchester City,West Brom,False
9,12,24,Manchester City,West Brom,False
9,52,59,Manchester City,West Brom,False
10,18,28,Manchester Utd,Aston Villa,False
11,23,26,Leicester City,West Ham,False
11,32,37,Leicester City,West Ham,False
11,49,55,West Ham,Leicester City,True
12,25,18,Tottenham,Stoke City,True
12,51,46,Tottenham,Stoke City,True
12,88,78,Stoke City,Tottenham,False
12,93,82,Stoke City,Tottenham,False
13,22,21,Everton,Southampton,False
13,43,44,Everton,Southampton,False
13,92,83,Everton,Southampton,False
14,8,9,Swansea,Newcastle,True
14,47,52,Swansea,Newcastle,True
15,28,26,Norwich City,Sunderland,False
15,35,37,Norwich City,Sunderland,False
15,50,57,Norwich City,Sunderland,False
15,71,88,Sunderland,Norwich City,True
16,21,20,Arsenal,Crystal Palace,False
16,30,30,Crystal Palace,Arsenal,True
16,64,56,Arsenal,Crystal Palace,False
17,37,31,Manchester City,Chelsea,True
17,91,79,Manchester City,Chelsea,True
17,99,84,Manchester City,Chelsea,True
18,23,26,Liverpool,Bournemouth,True
19,69,80,Tottenham,Leicester City,False
19,70,82,Leicester City,Tottenham,True
20,6,10,Stoke City,Norwich City,False
20,18,28,Norwich City,Stoke City,True
21,44,47,Swansea,Sunderland,False
21,56,62,Sunderland,Swansea,True
22,74,71,Crystal Palace,Aston Villa,True
22,80,76,Aston Villa,Crystal Palace,False
22,94,87,Crystal Palace,Aston Villa,True
23,10,11,Bournemouth,West Ham,False
23,18,28,Bournemouth,West Ham,False
23,34,47,West Ham,Bournemouth,True
23,42,52,West Ham,Bournemouth,True
23,52,65,Bournemouth,West Ham,False
23,63,79,Bournemouth,West Ham,False
23,64,82,West Ham,Bournemouth,True
24,14,20,Chelsea,West Brom,False
24,23,29,Chelsea,West Brom,False
24,25,35,West Brom,Chelsea,True
24,32,42,Chelsea,West Brom,False
24,54,59,West Brom,Chelsea,True
25,42,59,Manchester City,Everton,False
25,75,88,Manchester City,Everton,False
26,1,2,West Ham,Liverpool,False
26,23,28,West Ham,Liverpool,False
