asset,start,end
Y,2020-01-01 00:06:00,2020-01-01 00:21:00
Z,2020-01-01 00:50:00,2020-01-01 01:39:00
Y,2020-01-01 00:54:00,2020-01-01 01:51:00
Z,2020-01-01 02:14:00,2020-01-01 03:03:00
Y,2020-01-01 02:29:00,2020-01-01 03:26:00
Y,2020-01-01 04:01:00,2020-01-01 04:58:00
Z,2020-01-01 04:14:00,2020-01-01 05:10:00
Y,2020-01-01 05:49:00,2020-01-01 06:45:00
Z,2020-01-01 06:22:00,2020-01-01 07:11:00
Y,2020-01-01 07:00:00,2020-01-01 07:56:00
Z,2020-01-01 07:23:00,2020-01-01 08:12:00
Y,2020-01-01 08:21:00,2020-01-01 09:21:00
Z,2020-01-01 08:23:00,2020-01-01 09:22:00
Z,2020-01-01 10:55:00,2020-01-01 11:52:00
Y,2020-01-01 11:16:00,2020-01-01 12:12:00
Z,2020-01-01 12:03:00,2020-01-01 12:53:00
Y,2020-01-01 13:37:00,2020-01-01 14:33:00
Z,2020-01-01 13:38:00,2020-01-01 14:37:00
Y,2020-01-01 14:58:00,2020-01-01 15:54:00
Z,2020-01-01 15:02:00,2020-01-01 15:59:00
Y,2020-01-01 16:20:00,2020-01-01 17:16:00
Y,2020-01-01 17:41:00,2020-01-01 18:38:00
Z,2020-01-01 17:47:00,2020-01-01 18:43:00
Z,2020-01-01 18:59:00,2020-01-01 20:09:00
Y,2020-01-01 19:03:00,2020-01-01 19:28:00
Y,2020-01-01 19:40:00,2020-01-01 20:28:00
Z,2020-01-01 20:15:00,2020-01-01 21:12:00
Y,2020-01-01 20:48:00,2020-01-01 21:47:00
Z,2020-01-01 21:30:00,2020-01-01 22:20:00
Y,2020-01-01 22:42:00,2020-01-01 23:31:00
Z,2020-01-01 22:55:00,2020-01-02 00:21:00
Y,2020-01-01 23:42:00,2020-01-02 00:41:00
Z,2020-01-02 00:52:00,2020-01-02 01:51:00
Z,2020-01-02 02:02:00,2020-01-02 02:59:00
Y,2020-01-02 02:13:00,2020-01-02 03:09:00
Z,2020-01-02 03:17:00,2020-01-02 04:13:00
Y,2020-01-02 03:34:00,2020-01-02 04:30:00
Z,2020-01-02 05:01:00,2020-01-02 05:57:00
Y,2020-01-02 05:33:00,2020-01-02 06:30:00
Z,2020-01-02 07:29:00,2020-01-02 08:28:00
Z,2020-01-02 08:53:00,2020-01-02 09:42:00
Z,2020-01-02 10:16:00,2020-01-02 11:12:00
Z,2020-01-02 11:55:00,2020-01-02 12:44:00
Z,2020-01-02 13:02:00,2020-01-02 13:59:00
Z,2020-01-02 15:22:00,2020-01-02 16:11:00
Z,2020-01-02 16:31:00,2020-01-02 17:10:00
Z,2020-01-02 17:38:00,2020-01-02 19:26:00
Z,2020-01-02 19:51:00,2020-01-02 20:40:00
X,2020-01-02 20:32:00,2020-01-02 21:29:00
Z,2020-01-02 20:52:00,2020-01-02 21:49:00
Z,2020-01-02 22:11:00,2020-01-02 23:00:00
X,2020-01-02 22:31:00,2020-01-02 23:27:00
Z,2020-01-02 23:28:00,2020-01-03 00:17:00
X,2020-01-02 23:58:00,2020-01-03 00:12:00
X,2020-01-03 01:10:00,2020-01-03 02:06:00
Z,2020-01-03 02:12:00,2020-01-03 03:08:00
X,2020-01-03 02:52:00,2020-01-03 04:15:00
X,2020-01-03 04:28:00,2020-01-03 05:25:00
Z,2020-01-03 04:34:00,2020-01-03 05:33:00
X,2020-01-03 05:36:00,2020-01-03 06:14:00
Z,2020-01-03 06:02:00,2020-01-03 06:51:00
Z,2020-01-03 07:15:00,2020-01-03 08:14:00
Z,2020-01-03 08:26:00,2020-01-03 09:23:00
X,2020-01-03 08:31:00,2020-01-03 09:28:00
X,2020-01-03 11:00:00,2020-01-03 11:59:00
X,2020-01-03 12:35:00,2020-01-03 13:31:00
Z,2020-01-03 14:06:00,2020-01-03 15:02:00
X,2020-01-03 15:15:00,2020-01-03 16:14:00
Z,2020-01-03 15:51:00,2020-01-03 16:41:00
Z,2020-01-03 17:18:00,2020-01-03 18:17:00
X,2020-01-03 17:56:00,2020-01-03 18:21:00
X,2020-01-03 18:32:00,2020-01-03 19:31:00
Z,2020-01-03 19:12:00,2020-01-03 20:01:00
X,2020-01-03 19:45:00,2020-01-03 20:41:00
X,2020-01-03 20:52:00,2020-01-03 21:31:00
Z,2020-01-03 21:44:00,2020-01-03 22:33:00
X,2020-01-03 21:50:00,2020-01-03 22:04:00
X,2020-01-03 22:23:00,2020-01-03 23:13:00
Z,2020-01-03 23:22:00,2020-01-04 00:19:00
X,2020-01-03 23:46:00,2020-01-04 00:08:00
Z,2020-01-04 01:08:00,2020-01-04 02:04:00
X,2020-01-04 01:14:00,2020-01-04 02:11:00
X,2020-01-04 02:22:00,2020-01-04 03:21:00
Z,2020-01-04 02:28:00,2020-01-04 03:24:00
Z,2020-01-04 03:39:00,2020-01-04 04:28:00
X,2020-01-04 03:47:00,2020-01-04 04:43:00
Z,2020-01-04 04:47:00,2020-01-04 05:44:00
X,2020-01-04 05:10:00,2020-01-04 06:06:00
Z,2020-01-04 06:04:00,2020-01-04 06:53:00
