call_type,arrived,aborted,answered,complete
Type 1,2020-02-15 09:00:06,2020-02-15 09:00:12,,
Type 1,2020-02-15 09:00:15,2020-02-15 09:00:37,,
Type 1,2020-02-15 09:00:45,2020-02-15 09:00:51,,
Type 1,2020-02-15 09:01:16,2020-02-15 09:01:21,,
Type 2,2020-02-15 09:01:33,2020-02-15 09:01:44,,
Type 2,2020-02-15 09:01:40,2020-02-15 09:02:01,,
Type 1,2020-02-15 09:00:33,,2020-02-15 09:00:53,2020-02-15 09:02:05
Type 1,2020-02-15 09:01:52,2020-02-15 09:02:17,,
Type 2,2020-02-15 09:01:59,2020-02-15 09:02:17,,
Type 1,2020-02-15 09:02:09,2020-02-15 09:02:21,,
Type 1,2020-02-15 09:00:16,,2020-02-15 09:00:42,2020-02-15 09:02:22
Type 2,2020-02-15 09:02:21,2020-02-15 09:02:35,,
Type 1,2020-02-15 09:02:27,2020-02-15 09:02:37,,
Type 1,2020-02-15 09:01:09,,2020-02-15 09:01:26,2020-02-15 09:02:39
Type 1,2020-02-15 09:02:35,2020-02-15 09:02:41,,
Type 1,2020-02-15 09:01:08,,2020-02-15 09:01:17,2020-02-15 09:02:43
Type 2,2020-02-15 09:00:58,,2020-02-15 09:01:06,2020-02-15 09:02:43
Type 1,2020-02-15 09:00:50,,2020-02-15 09:00:59,2020-02-15 09:02:47
Type 2,2020-02-15 09:00:57,,2020-02-15 09:01:03,2020-02-15 09:02:53
Type 1,2020-02-15 09:01:22,,2020-02-15 09:01:34,2020-02-15 09:02:56
Type 2,2020-02-15 09:02:51,2020-02-15 09:02:58,,
Type 2,2020-02-15 09:02:59,2020-02-15 09:03:04,,
Type 2,2020-02-15 09:02:42,2020-02-15 09:03:05,,
Type 1,2020-02-15 09:01:13,,2020-02-15 09:01:34,2020-02-15 09:03:27
Type 2,2020-02-15 09:00:26,,2020-02-15 09:00:52,2020-02-15 09:03:27
Type 2,2020-02-15 09:02:00,,2020-02-15 09:02:43,2020-02-15 09:03:41
Type 1,2020-02-15 09:00:12,,2020-02-15 09:00:42,2020-02-15 09:03:47
Type 1,2020-02-15 09:01:28,,2020-02-15 09:02:05,2020-02-15 09:03:57
Type 1,2020-02-15 09:03:51,2020-02-15 09:04:00,,
Type 1,2020-02-15 09:01:28,,2020-02-15 09:02:22,2020-02-15 09:04:03
Type 2,2020-02-15 09:00:25,,2020-02-15 09:00:52,2020-02-15 09:04:13
Type 1,2020-02-15 09:01:31,,2020-02-15 09:02:25,2020-02-15 09:04:18
Type 1,2020-02-15 09:00:59,,2020-02-15 09:01:14,2020-02-15 09:04:18
Type 1,2020-02-15 09:04:20,2020-02-15 09:04:21,,
Type 1,2020-02-15 09:04:36,2020-02-15 09:04:38,,
Type 2,2020-02-15 09:04:34,2020-02-15 09:04:40,,
Type 2,2020-02-15 09:01:24,,2020-02-15 09:01:49,2020-02-15 09:04:41
Type 2,2020-02-15 09:01:54,,2020-02-15 09:02:43,2020-02-15 09:04:47
Type 1,2020-02-15 09:03:18,,2020-02-15 09:03:27,2020-02-15 09:04:53
Type 2,2020-02-15 09:01:35,,2020-02-15 09:02:39,2020-02-15 09:05:23
Type 1,2020-02-15 09:03:05,,2020-02-15 09:03:12,2020-02-15 09:05:32
Type 2,2020-02-15 09:02:32,,2020-02-15 09:02:56,2020-02-15 09:05:50
Type 1,2020-02-15 09:03:50,,2020-02-15 09:04:18,2020-02-15 09:05:50
Type 2,2020-02-15 09:02:23,,2020-02-15 09:02:47,2020-02-15 09:05:58
Type 2,2020-02-15 09:03:19,,2020-02-15 09:03:41,2020-02-15 09:05:59
Type 1,2020-02-15 09:03:44,,2020-02-15 09:04:13,2020-02-15 09:05:59
Type 2,2020-02-15 09:03:56,,2020-02-15 09:04:18,2020-02-15 09:06:04
Type 2,2020-02-15 09:01:24,,2020-02-15 09:01:54,2020-02-15 09:06:06
Type 1,2020-02-15 09:03:36,,2020-02-15 09:03:57,2020-02-15 09:06:13
Type 1,2020-02-15 09:02:24,,2020-02-15 09:02:53,2020-02-15 09:06:28
Type 1,2020-02-15 09:04:19,,2020-02-15 09:04:41,2020-02-15 09:06:48
Type 1,2020-02-15 09:05:14,,2020-02-15 09:05:50,2020-02-15 09:06:49
Type 1,2020-02-15 09:04:41,,2020-02-15 09:04:53,2020-02-15 09:06:49
Type 1,2020-02-15 09:04:48,,2020-02-15 09:05:01,2020-02-15 09:06:50
Type 2,2020-02-15 09:06:56,2020-02-15 09:07:01,,
Type 1,2020-02-15 09:01:32,,2020-02-15 09:02:27,2020-02-15 09:07:02
Type 1,2020-02-15 09:03:35,,2020-02-15 09:03:47,2020-02-15 09:07:07
